UNIFAC_parameters

-type
  classic
  
-list_of_main_groups
  4   44  72.96      0.0  0.0  794.4      0.0  0.0
  4   45  -382.7     0.0  0.0  394.8      0.0  0.0
  4   46  -248.3     0.0  0.0  517.5      0.0  0.0
  4   48  104.7      0.0  0.0  -61.2      0.0  0.0
  4   49  57.65      0.0  0.0  682.5      0.0  0.0
  4   51  215.81     0.0  0.0  72.19      0.0  0.0
  4   52  -1840.8    0.0  0.0  111.65     0.0  0.0
  4   53  56.298     0.0  0.0  122.19     0.0  0.0
  5   0   16.51      0.0  0.0  697.2      0.0  0.0
  5   1   -12.52     0.0  0.0  787.6      0.0  0.0
  5   2   -50.0      0.0  0.0  637.35     0.0  0.0
  5   3   -44.5      0.0  0.0  603.25     0.0  0.0
  5   4   249.1      0.0  0.0  -137.1     0.0  0.0
  5   5   0.0        0.0  0.0  0.0        0.0  0.0
  5   6   -180.95    0.0  0.0  289.6      0.0  0.0
  5   7   -101.7     0.0  0.0  -265.2     0.0  0.0
  5   8   23.39      0.0  0.0  108.65     0.0  0.0
  5   9   306.42     0.0  0.0  -340.18    0.0  0.0
  5   10  -10.72     0.0  0.0  249.63     0.0  0.0
  5   11  179.7      0.0  0.0  227.8      0.0  0.0
  5   12  -128.6     0.0  0.0  238.4      0.0  0.0
  5   13  359.3      0.0  0.0  -481.65    0.0  0.0
  5   14  -20.98     0.0  0.0  -370.3     0.0  0.0
  5   15  53.9       0.0  0.0  -406.8     0.0  0.0
  5   16  489.7      0.0  0.0  -118.1     0.0  0.0
  5   17  580.48     0.0  0.0  -378.24    0.0  0.0
  5   18  53.28      0.0  0.0  162.6      0.0  0.0
  5   19  -202.0     0.0  0.0  339.8      0.0  0.0
  5   20  -38.32     0.0  0.0  529.0      0.0  0.0
  5   21  -102.54    0.0  0.0  669.9      0.0  0.0
  5   22  -139.35    0.0  0.0  649.1      0.0  0.0
  5   23  -44.76     0.0  0.0  709.6      0.0  0.0
  5   24  -28.25     0.0  0.0  612.8      0.0  0.0
  5   25  75.14      0.0  0.0  252.56     0.0  0.0
  5   26  457.88     0.0  0.0  511.29     0.0  0.0
  5   27  -31.09     0.0  0.0  914.2      0.0  0.0
  5   28  17.5       0.0  0.0  448.6      0.0  0.0
  5   29  -61.76     0.0  0.0  287.0      0.0  0.0
  5   30  -119.2     0.0  0.0  240.8      0.0  0.0
  5   31  212.1      0.0  0.0  431.3      0.0  0.0
  5   32  106.3      0.0  0.0  494.7      0.0  0.0
  5   33  -119.1     0.0  0.0  967.71     0.0  0.0
  5   34  -399.3     0.0  0.0  695.0      0.0  0.0
  5   35  -5.224     0.0  0.0  218.8      0.0  0.0
  5   36  33.47      0.0  0.0  528.0      0.0  0.0
  5   37  -48.25     0.0  0.0  645.9      0.0  0.0
  5   38  -172.4     0.0  0.0  172.2      0.0  0.0
  5   40  165.7      0.0  0.0  171.0      0.0  0.0
  5   44  -52.1      0.0  0.0  762.7      0.0  0.0
  5   47  37.63      0.0  0.0  420.0      0.0  0.0
  5   48  -59.4      0.0  0.0  -89.24     0.0  0.0
  5   49  -46.01     0.0  0.0  597.8      0.0  0.0
  5   51  150.02     0.0  0.0  265.75     0.0  0.0
  6   0   300.0      0.0  0.0  1318.0     0.0  0.0
  6   1   496.1      0.0  0.0  270.6      0.0  0.0
  6   2   362.3      0.0  0.0  903.8      0.0  0.0
  6   3   377.6      0.0  0.0  5695.0     0.0  0.0
  6   4   -229.1     0.0  0.0  353.5      0.0  0.0
  6   5   289.6      0.0  0.0  -180.95    0.0  0.0
  6   6   0.0        0.0  0.0  0.0        0.0  0.0
  6   7   324.5      0.0  0.0  -601.8     0.0  0.0
  6   8   -195.4     0.0  0.0  472.5      0.0  0.0
  6   9   -116.0     0.0  0.0  480.8      0.0  0.0
  6   10  72.87      0.0  0.0  200.8      0.0  0.0
  6   11  233.87     0.0  0.0  124.63     0.0  0.0
  6   12  540.5      0.0  0.0  -314.7     0.0  0.0
  6   13  48.89      0.0  0.0  -330.4     0.0  0.0
  6   14  168.0      0.0  0.0  -448.2     0.0  0.0
  6   15  304.0      0.0  0.0  -598.8     0.0  0.0
  6   16  243.2      0.0  0.0  -341.6     0.0  0.0
  6   17  459.0      0.0  0.0  -332.9     0.0  0.0
  6   18  112.6      0.0  0.0  242.8      0.0  0.0
  6   19  -14.09     0.0  0.0  -66.17     0.0  0.0
  6   20  325.44     0.0  0.0  698.24     0.0  0.0
  6   21  370.4      0.0  0.0  708.69     0.0  0.0
  6   22  353.68     0.0  0.0  826.76     0.0  0.0
  6   23  497.54     0.0  0.0  1201.0     0.0  0.0
  6   24  133.9      0.0  0.0  -274.5     0.0  0.0
  6   25  220.6      0.0  0.0  417.9      0.0  0.0
  6   26  399.5      0.0  0.0  360.7      0.0  0.0
  6   27  887.1      0.0  0.0  1081.0     0.0  0.0
  6   29  188.026    0.0  0.0  23.484     0.0  0.0
  6   30  12.72      0.0  0.0  -137.4     0.0  0.0
  6   32  777.1      0.0  0.0  79.18      0.0  0.0
  6   34  -139.0     0.0  0.0  -240.0     0.0  0.0
