UNIFAC_parameters

-type
  modified

-list_of_main_groups
  2   3   215.61    -0.9343   5.4788e-05   -89.38    0.3561    0.00072826 
  2   4   3851.36   -12.7673  0.012019     2866.4    -14.2748  0.020523   
  2   5   1052.46   1.2728    -0.0048313   -161.98   1.1169    -0.0021209 
  2   6   792.0     -1.726    0.0          332.3     1.158     0.0        
  2   7   1435.9    -2.4554   0.0          1358.84   8.8056    0.0        
  2   8   208.29    -0.891    0.00082427   -225.48   1.4676    -0.00087633
  2   9   26.89     1.2527    0.0          -308.79   1.4571    0.0        
  2   10  -436.58   2.5648    -0.0031523   834.28    -3.3669   0.0030476  
  2   11  113.93    0.3235    0.0          123.43    -0.525    0.0        
  2   12  -6.13     -0.2221   0.0          -125.0    0.7224    0.0        
  2   13  2036.0    -8.729    0.008138     -121.0    -1.901    0.006999   
  2   14  -371.5    1.3487    0.0          796.5     -2.5016   0.0        
