UNIFAC_parameters

-type
  modified

-list_of_main_groups
  0   CH2       [0]CH3 [1]CH2 [2]CH [3]C 
  1   28  417.6      0.08726      0.0           452.2      -1.997       0.0         
  1   30  46.06      1.545        0.0           70.88      -1.09        0.0         
  1   32  470.4      0.0          0.0           -146.1     0.0          0.0         
  1   35  -19.82     0.5941       0.0           160.4      -0.5148      0.0         
  1   36  642.27     -3.8641      0.0055        -197.06    1.8723       -0.0027     
  1   37  -174.6     1.96         0.0           154.0      -1.303       0.0         
  1   38  179.7      0.0          0.0           -113.8     0.0          0.0         
  1   39  967.9      -0.03862     0.0           -300.6     -0.09576     0.0         
  1   40  141.1      -0.3025      0.0           -139.5     0.9076       0.0         
  1   41  388.4      0.0          0.0           -152.2     0.0          0.0         
  1   43  -339.8     1.297        0.0           698.5      -2.159       0.0         
  1   44  2.406      -0.1882      0.0           60.2       0.1565       0.0         
  1   45  491.23     -1.8285      0.0           -734.87    3.3463       0.0         
  1   46  673.2271   1.9523       0.0           92.7       -0.8135      0.0         
  1   47  1171.32    3.92127      0.0           90.0134    -0.920017    0.0         
  1   48  249.18     0.0          0.0           -81.79     0.0          0.0         
  1   49  -86.231    0.0          0.0           -39.373    0.0          0.0         
  1   50  9.389999   0.0          0.0           57.86      0.0          0.0         
  1   51  775.56     0.0          0.0           -65.66     0.0          0.0         
  1   52  -456.08    2.4334       0.0           298.55     -1.4153      0.0         
  1   53  324.316    0.0          0.0           -156.458   0.0          0.0         
  1   54  -44.3408   -0.65212     0.0           1753.135   -3.112       0.0         
  1   55  566.2915   -0.14057     0.0           -1213.93   5.14012      0.0         
  1   56  -92.7302   -0.25088     0.0           -1151.296  4.7125       0.0         
  1   57  1230.781   0.17033      0.0141503     4896.219   -1.86077     -0.0254894  
  1   58  1625.909   -2.40107     0.0           159.8103   1.85317      0.0         
  1   59  2979.973   4.82369      -0.0272505    724.9113   -4.79411     0.0056279   
  1   60  -740.2421  0.0          0.0           232.905    0.0          0.0         
  1   61  2487.632   -3.28182     0.0           1804.025   -5.18107     0.0         
  1   62  -2399.738  -0.27451     0.0329518     658.1962   0.57714      -0.0078001  
  2   0   16.07      -0.2998      0.0           114.2      0.0933       0.0         
  2   1   -157.2     0.6166       0.0           174.1      -0.5886      0.0         
  2   2   0          0            0             0          0            0           
  2   3   139.2      -0.65        0.0           -45.33     0.4223       0.0         
  2   4   3972.0     -13.16       0.01208       3049.0     -12.77       0.01435     
  2   5   1604.3     -2.0299      0.0           13.733     -0.11768     0.0         
  2   6   792.0      -1.726       0.0           332.3      1.158        0.0         
  2   7   1356.0     -2.118       0.0           2340.0     -5.043       0.0         
  2   8   146.2      -1.237       0.004237      -57.53     1.212        -0.003715   
  2   9   -365.5     1.874        0.0           1011.0     -2.167       0.0         
  2   10  -274.54    0.91491      0.0           622.73     -1.7605      0.0         
  2   11  170.5      -0.02393     0.0           108.3      -0.262       0.0         
  2   12  -87.08     -0.1859      0.0           179.0      0.05615      0.0         
  2   13  -26.852    -0.44215     0.0           47.23      0.64039      0.0         
  2   14  2036.0     -8.729       0.008138      -121.0     -1.901       0.006999    
  2   15  139.67     0.037692     0.0           105.63     -0.60667     0.0         
  2   16  -71.4      0.7078       0.0           16.29      -0.6022      0.0         
  2   17  1044.7     -1.7112      0.0           154.39     1.2458       0.0         
  2   18  -1553.9    0.1615       0.0082        1810.8     -5.7594      0.0023      
  2   19  -17.44     0.9437       0.0           111.8      -0.5959      0.0         
  2   20  69.561     1.8881       0.0           613.32     -1.595       0.0         
  2   21  -1172.0    10.106       -0.01428      -1141.6    8.656199     -0.015439   
  2   22  73.04601   -0.21322     0.0           -58.972    0.1046       0.0         
  2   23  133.66     -0.46141     0.0           -142.2     0.39662      0.0         
  2   24  380.02     -0.23326     0.0           -201.52    -0.068774    0.0         
  2   25  66.214     -0.63629     0.0           -78.116    0.69975      0.0         
  2   26  269.0      -1.776       0.002645      -305.5     2.12         -0.003239   
  2   27  595.2      3.309        -0.02844      1885.0     -10.98       0.01661     
  2   28  134.1      -0.8156      0.00145       -330.0     3.066        -0.005376   
  2   29  936.3391   -4.4141      0.012232      1866.23    -9.28137     0.008299    
  2   30  3736.0     -25.0        0.04593       574.6      -3.702       0.003682    
  2   31  77.083     -0.3094      0.0           -2.1662    0.1196       0.0         
  2   32  331.6      0.3778       0.0           0.4086     -0.4601      0.0         
  2   33  -148.14    2.2658       -0.00353      -93.18999  1.5036       -0.00141    
  2   34  -82.28     0.5677       0.0           298.9      -0.8374      0.0         
  2   35  -248.2     1.214        0.0           187.5      -0.9020001   0.0         
  2   37  347.6      -1.43        0.0           -345.6     1.545        0.0         
  2   39  602.1      -7.798       0.01966       1887.0     -8.707001    0.007813    
  2   40  808.0      -5.331       0.006077      -1367.0    7.883        -0.007754   
  2   41  -81.68999  1.1229       -0.00105      58.76      -0.6263      0.000668    
  2   42  123.26     -0.6133      0.0           419.04     -0.1703      0.0         
  2   43  -126.2     0.386        0.0           670.8      -1.807       0.0         
